시군구,번지,계약년월,계약일,거래금액(만원),건축년도,단지명,전용면적(㎡),층,해제사유발생일
대구광역시 동구 신암동,194-1,202409,30,"19,500",2005,신암건영캐스빌,58.61,12,-
부산광역시 사하구 하단동,870-95,202409,30,"18,600",2003,나산리츠,78.92,11,-
서울특별시 서대문구 남가좌동,389,202409,30,"113,800",2019,DMC에코자이,84.823,2,-
부산광역시 부산진구 범전동,450,202409,30,"84,000",2019,삼한골든뷰센트럴파크,84.9929,47,-
서울특별시 중구 신당동,844,202409,30,"135,000",2002,남산타운,114.88,2,-
부산광역시 부산진구 범천동,1230-76,202409,30,"18,000",2021,궁전아이브더파크,52.1,15,-
서울특별시 강서구 화곡동,914-32,202409,30,"21,000",2016,세교예지안5차,29.95,9,-
대구광역시 중구 수창동,173,202409,30,"49,700",2017,대구역센트럴자이,84.6421,26,-
부산광역시 부산진구 범천동,1650,202409,30,"28,500",2020,서면3차봄여름가을겨울,49.9748,23,-
부산광역시 연제구 연산동,2311,202409,30,"63,200",2015,더샵파크시티,84.94,26,-
광주광역시 북구 신안동,213-1,202409,30,"17,600",1991,모아,84.9,5,-
인천광역시 연수구 옥련동,639-1,202409,30,"24,800",1997,현대5,59.985,10,-
대구광역시 남구 이천동,452,202409,30,"28,000",2006,교대역월드메르디앙,84.6116,5,-
부산광역시 연제구 연산동,478-2,202409,30,"19,200",2012,리치W,59.9787,6,-
서울특별시 서대문구 남가좌동,387,202409,30,"13,600",2017,디엠씨엘가,13.03,6,-
서울특별시 중구 충무로4가,120-3,202409,30,"65,000",1970,진양상가,71.93,11,-
서울특별시 노원구 상계동,639,202409,30,"66,000",1988,보람아파트,79.25,10,-
서울특별시 영등포구 당산동5가,41,202409,30,"61,000",2002,반도유보라,84.58,10,-
부산광역시 부산진구 부전동,560-16,202409,30,"37,156",2005,유원타워,71.42,9,-
부산광역시 부산진구 부전동,560-16,202409,30,"39,500",2005,유원타워,71.42,7,-
서울특별시 양천구 목동,911,202409,30,"265,000",1986,목동신시가지6,115.19,5,20241127
서울특별시 용산구 효창동,287,202409,30,"180,000",2019,용산롯데캐슬센터포레,84.8757,6,-
부산광역시 부산진구 부전동,560-16,202409,30,"37,156",2005,유원타워,71.42,6,-
부산광역시 부산진구 부전동,560-16,202409,30,"37,156",2005,유원타워,71.42,3,-
서울특별시 노원구 상계동,1276,202409,30,"36,500",2001,청암2단지,49.77,2,-
서울특별시 노원구 상계동,670,202409,30,"49,900",1988,상계주공9(고층),49.94,4,-
서울특별시 노원구 상계동,720,202409,30,"51,500",1988,상계주공6(고층),58.01,2,-
서울특별시 성북구 상월곡동,101,202409,30,"62,000",2003,동아에코빌,59.95,15,-
서울특별시 노원구 상계동,740,202409,30,"45,000",1987,상계주공2(고층),41.3,9,-
부산광역시 부산진구 부전동,450,202409,30,"16,500",1999,네오스포,59.901,18,-
부산광역시 사하구 괴정동,740,202409,30,"60,000",1982,자유,192.03,10,-
부산광역시 사하구 괴정동,952-1,202409,30,"51,000",2016,괴정협성휴포레아파트,84.9564,27,-
부산광역시 사하구 괴정동,213-6,202409,30,"28,000",2007,극동스타클래스,84.9151,4,-
대구광역시 달성군 다사읍 매곡리,302,202409,30,"14,600",1993,강창동서,84.92,8,-
광주광역시 남구 월산동,976-1,202409,30,"5,500",1996,보라,45.21,5,-
서울특별시 영등포구 신길동,4780,202409,30,"98,300",2005,보라매경남아너스빌,84.79,16,-
부산광역시 해운대구 좌동,1278,202409,30,"20,500",1997,LH뜨란채아파트,49.94,5,-
부산광역시 해운대구 좌동,1278,202409,30,"21,000",1997,LH뜨란채아파트,49.94,16,-
부산광역시 해운대구 좌동,1419,202409,30,"34,600",1999,롯데4,59.76,19,-
인천광역시 미추홀구 주안동,222-2,202409,30,"26,000",2010,영캐슬아파트,83.26,8,-
인천광역시 미추홀구 주안동,1566-1,202409,30,"22,000",2007,삼우,81.9737,6,-
부산광역시 해운대구 좌동,1412,202409,30,"56,500",1996,동부,83.6,17,-
서울특별시 강서구 화곡동,916-6,202409,30,"35,500",2009,천우네오젠9차,55.93,6,-
서울특별시 노원구 상계동,680,202409,30,"90,000",2020,포레나노원,59.9866,6,-
부산광역시 해운대구 좌동,1438,202409,30,"32,000",1998,대우2,59.946,7,-
서울특별시 강남구 도곡동,467-6,202409,30,"313,000",1999,대림아크로빌,177.255,16,-
광주광역시 동구 운림동,628,202409,30,"11,500",1994,무등파크맨션3차,59.76,2,-
인천광역시 미추홀구 주안동,1607,202409,30,"17,500",2006,한신휴플러스,40.8,2,-
인천광역시 미추홀구 주안동,24-24,202409,30,"27,000",2005,진도로르빌,82.271,13,-
부산광역시 해운대구 좌동,1374,202409,30,"31,500",1997,대림3,59.816,13,-
